,districtid,overall,cases
0,AP_Anantapur,1,157166
1,AP_Chittoor,1,238338
2,AP_East Godavari,1,285839
3,AP_Guntur,1,172614
4,AP_Krishna,1,113859
5,AP_Kurnool,1,123797
6,AP_Prakasam,1,133786
7,AP_S.P.S. Nellore,1,140306
8,AP_Srikakulam,1,122082
9,AP_Visakhapatnam,1,155010
10,AP_Vizianagaram,1,82436
11,AP_West Godavari,1,174469
12,AP_Y.S.R. Kadapa,1,112705
13,AR_Anjaw,1,1038
14,AR_Changlang,1,3733
15,AR_East Kameng,1,1079
16,AR_East Siang,1,3062
17,AR_Kamle,1,506
18,AR_Kra Daadi,1,267
19,AR_Kurung Kumey,1,509
20,AR_Lepa Rada,1,855
21,AR_Lohit,1,2761
22,AR_Longding,1,738
23,AR_Lower Dibang Valley,1,2246
24,AR_Lower Siang,1,736
25,AR_Lower Subansiri,1,2840
26,AR_Namsai,1,2001
27,AR_Pakke Kessang,1,426
28,AR_Papum Pare,1,17878
29,AR_Shi Yomi,1,234
30,AR_Siang,1,408
31,AR_Tawang,1,2378
32,AR_Tirap,1,1027
33,AR_Upper Dibang Valley,1,323
34,AR_Upper Siang,1,965
35,AR_Upper Subansiri,1,1949
36,AR_West Kameng,1,3337
37,AR_West Siang,1,1806
38,AS_Dibrugarh,1,0
39,AS_Udalguri,1,0
40,BR_Araria,1,14969
41,BR_Arwal,1,7381
42,BR_Banka,1,7379
43,BR_Begusarai,1,27185
44,BR_Bhagalpur,1,25833
45,BR_Bhojpur,1,10186
46,BR_Buxar,1,9248
47,BR_Darbhanga,1,10923
48,BR_East Champaran,1,19009
49,BR_Gaya,1,33944
50,BR_Gopalganj,1,16676
51,BR_Jamui,1,9415
52,BR_Jehanabad,1,10775
53,BR_Kaimur,1,4983
54,BR_Katihar,1,18136
55,BR_Khagaria,1,10059
56,BR_Kishanganj,1,10113
57,BR_Lakhisarai,1,7773
58,BR_Madhepura,1,12538
59,BR_Madhubani,1,18342
60,BR_Munger,1,15104
61,BR_Muzaffarpur,1,31392
62,BR_Nalanda,1,23430
