,districtid,monthid,cases
0,AP_Anantapur,1,0
1,AP_Anantapur,2,118
2,AP_Anantapur,3,341
3,AP_Anantapur,4,3166
4,AP_Anantapur,5,24283
5,AP_Anantapur,6,20842
6,AP_Anantapur,7,11522
7,AP_Anantapur,8,4261
8,AP_Anantapur,9,841
9,AP_Anantapur,10,516
10,AP_Anantapur,11,145
11,AP_Anantapur,12,160
12,AP_Anantapur,13,2215
13,AP_Anantapur,14,37471
14,AP_Anantapur,15,39005
15,AP_Anantapur,16,5056
16,AP_Anantapur,17,1416
17,AP_Chittoor,1,0
18,AP_Chittoor,2,151
19,AP_Chittoor,3,188
20,AP_Chittoor,4,2715
21,AP_Chittoor,5,18188
22,AP_Chittoor,6,27668
23,AP_Chittoor,7,21007
24,AP_Chittoor,8,9761
25,AP_Chittoor,9,2827
26,AP_Chittoor,10,1722
27,AP_Chittoor,11,500
28,AP_Chittoor,12,857
29,AP_Chittoor,13,8068
30,AP_Chittoor,14,54160
31,AP_Chittoor,15,54926
32,AP_Chittoor,16,15683
33,AP_Chittoor,17,8989
34,AP_East Godavari,1,0
35,AP_East Godavari,2,51
36,AP_East Godavari,3,300
37,AP_East Godavari,4,2728
38,AP_East Godavari,5,34930
39,AP_East Godavari,6,38802
40,AP_East Godavari,7,28245
41,AP_East Godavari,8,11866
42,AP_East Godavari,9,2575
43,AP_East Godavari,10,964
44,AP_East Godavari,11,318
45,AP_East Godavari,12,283
46,AP_East Godavari,13,2429
47,AP_East Godavari,14,49247
48,AP_East Godavari,15,68280
49,AP_East Godavari,16,21852
50,AP_East Godavari,17,10836
51,AP_Guntur,1,0
52,AP_Guntur,2,404
53,AP_Guntur,3,219
54,AP_Guntur,4,2714
55,AP_Guntur,5,21116
56,AP_Guntur,6,20455
57,AP_Guntur,7,14312
58,AP_Guntur,8,9443
59,AP_Guntur,9,2972
60,AP_Guntur,10,1220
61,AP_Guntur,11,358
62,AP_Guntur,12,291
63,AP_Guntur,13,7585
64,AP_Guntur,14,45598
65,AP_Guntur,15,26087
66,AP_Guntur,16,7468
67,AP_Guntur,17,4899
68,AP_Krishna,1,0
69,AP_Krishna,2,351
70,AP_Krishna,3,341
71,AP_Krishna,4,1987
72,AP_Krishna,5,8931
73,AP_Krishna,6,9394
74,AP_Krishna,7,11037
75,AP_Krishna,8,9713
76,AP_Krishna,9,3524
77,AP_Krishna,10,1487
78,AP_Krishna,11,523
79,AP_Krishna,12,330
80,AP_Krishna,13,4370
81,AP_Krishna,14,20583
82,AP_Krishna,15,20289
83,AP_Krishna,16,8445
84,AP_Krishna,17,6569
85,AP_Kurnool,1,0
86,AP_Kurnool,2,591
87,AP_Kurnool,3,377
88,AP_Kurnool,4,2787
89,AP_Kurnool,5,27786
90,AP_Kurnool,6,19220
91,AP_Kurnool,7,6153
92,AP_Kurnool,8,1379
93,AP_Kurnool,9,474
94,AP_Kurnool,10,289
95,AP_Kurnool,11,132
96,AP_Kurnool,12,114
97,AP_Kurnool,13,2748
98,AP_Kurnool,14,34116
99,AP_Kurnool,15,20146
100,AP_Kurnool,16,2876
101,AP_Kurnool,17,828
102,AP_Prakasam,1,0
103,AP_Prakasam,2,63
104,AP_Prakasam,3,38
105,AP_Prakasam,4,1135
106,AP_Prakasam,5,9472
107,AP_Prakasam,6,25634
108,AP_Prakasam,7,17381
109,AP_Prakasam,8,5369
110,AP_Prakasam,9,853
111,AP_Prakasam,10,277
112,AP_Prakasam,11,84
113,AP_Prakasam,12,59
114,AP_Prakasam,13,2103
115,AP_Prakasam,14,24091
116,AP_Prakasam,15,25297
117,AP_Prakasam,16,9692
118,AP_Prakasam,17,6039
119,AP_S.P.S. Nellore,1,0
120,AP_S.P.S. Nellore,2,126
121,AP_S.P.S. Nellore,3,256
122,AP_S.P.S. Nellore,4,1007
123,AP_S.P.S. Nellore,5,14705
124,AP_S.P.S. Nellore,6,27389
125,AP_S.P.S. Nellore,7,12341
126,AP_S.P.S. Nellore,8,3385
127,AP_S.P.S. Nellore,9,925
128,AP_S.P.S. Nellore,10,416
129,AP_S.P.S. Nellore,11,150
130,AP_S.P.S. Nellore,12,134
131,AP_S.P.S. Nellore,13,3257
132,AP_S.P.S. Nellore,14,34988
133,AP_S.P.S. Nellore,15,21514
134,AP_S.P.S. Nellore,16,6614
135,AP_S.P.S. Nellore,17,6755
136,AP_Srikakulam,1,0
137,AP_Srikakulam,2,7
138,AP_Srikakulam,3,48
139,AP_Srikakulam,4,1359
140,AP_Srikakulam,5,11728
141,AP_Srikakulam,6,18789
142,AP_Srikakulam,7,8661
143,AP_Srikakulam,8,2790
144,AP_Srikakulam,9,704
145,AP_Srikakulam,10,298
146,AP_Srikakulam,11,115
147,AP_Srikakulam,12,138
148,AP_Srikakulam,13,2802
149,AP_Srikakulam,14,41235
150,AP_Srikakulam,15,22542
151,AP_Srikakulam,16,4533
152,AP_Srikakulam,17,1641
153,AP_Visakhapatnam,1,0
154,AP_Visakhapatnam,2,66
155,AP_Visakhapatnam,3,148
156,AP_Visakhapatnam,4,1269
157,AP_Visakhapatnam,5,21790
158,AP_Visakhapatnam,6,20042
159,AP_Visakhapatnam,7,8070
160,AP_Visakhapatnam,8,4060
161,AP_Visakhapatnam,9,1360
162,AP_Visakhapatnam,10,810
163,AP_Visakhapatnam,11,427
164,AP_Visakhapatnam,12,324
165,AP_Visakhapatnam,13,5736
166,AP_Visakhapatnam,14,41885
167,AP_Visakhapatnam,15,34992
168,AP_Visakhapatnam,16,4876
169,AP_Visakhapatnam,17,3078
170,AP_Vizianagaram,1,0
171,AP_Vizianagaram,2,4
172,AP_Vizianagaram,3,65
173,AP_Vizianagaram,4,759
174,AP_Vizianagaram,5,10803
175,AP_Vizianagaram,6,16182
176,AP_Vizianagaram,7,8866
177,AP_Vizianagaram,8,2337
178,AP_Vizianagaram,9,593
179,AP_Vizianagaram,10,202
180,AP_Vizianagaram,11,49
181,AP_Vizianagaram,12,33
182,AP_Vizianagaram,13,1154
183,AP_Vizianagaram,14,19557
184,AP_Vizianagaram,15,14941
185,AP_Vizianagaram,16,2653
186,AP_Vizianagaram,17,774
187,AP_West Godavari,1,0
188,AP_West Godavari,2,69
189,AP_West Godavari,3,217
190,AP_West Godavari,4,1725
191,AP_West Godavari,5,19844
192,AP_West Godavari,6,28876
193,AP_West Godavari,7,24239
194,AP_West Godavari,8,12659
195,AP_West Godavari,9,3139
196,AP_West Godavari,10,623
197,AP_West Godavari,11,198
198,AP_West Godavari,12,95
199,AP_West Godavari,13,479
200,AP_West Godavari,14,21711
201,AP_West Godavari,15,34367
202,AP_West Godavari,16,13461
203,AP_West Godavari,17,5401
204,AP_Y.S.R. Kadapa,1,0
205,AP_Y.S.R. Kadapa,2,99
206,AP_Y.S.R. Kadapa,3,146
207,AP_Y.S.R. Kadapa,4,1725
208,AP_Y.S.R. Kadapa,5,14039
209,AP_Y.S.R. Kadapa,6,19969
210,AP_Y.S.R. Kadapa,7,11706
211,AP_Y.S.R. Kadapa,8,4429
212,AP_Y.S.R. Kadapa,9,1038
213,AP_Y.S.R. Kadapa,10,456
214,AP_Y.S.R. Kadapa,11,160
215,AP_Y.S.R. Kadapa,12,144
216,AP_Y.S.R. Kadapa,13,2095
217,AP_Y.S.R. Kadapa,14,22026
218,AP_Y.S.R. Kadapa,15,20687
219,AP_Y.S.R. Kadapa,16,6236
220,AP_Y.S.R. Kadapa,17,2861
221,AR_Anjaw,1,0
222,AR_Anjaw,2,0
223,AR_Anjaw,3,0
224,AR_Anjaw,4,4
225,AR_Anjaw,5,30
226,AR_Anjaw,6,45
227,AR_Anjaw,7,81
228,AR_Anjaw,8,26
229,AR_Anjaw,9,15
230,AR_Anjaw,10,4
231,AR_Anjaw,11,0
232,AR_Anjaw,12,0
233,AR_Anjaw,13,0
234,AR_Anjaw,14,103
235,AR_Anjaw,15,283
236,AR_Anjaw,16,210
237,AR_Anjaw,17,170
238,AR_Changlang,1,0
239,AR_Changlang,2,0
240,AR_Changlang,3,59
241,AR_Changlang,4,54
242,AR_Changlang,5,198
243,AR_Changlang,6,301
244,AR_Changlang,7,408
245,AR_Changlang,8,138
246,AR_Changlang,9,77
247,AR_Changlang,10,10
248,AR_Changlang,11,3
249,AR_Changlang,12,1
250,AR_Changlang,13,2
251,AR_Changlang,14,274
252,AR_Changlang,15,1130
253,AR_Changlang,16,564
254,AR_Changlang,17,332
255,AR_East Kameng,1,0
256,AR_East Kameng,2,0
257,AR_East Kameng,3,0
258,AR_East Kameng,4,2
259,AR_East Kameng,5,148
260,AR_East Kameng,6,91
261,AR_East Kameng,7,52
262,AR_East Kameng,8,7
263,AR_East Kameng,9,2
264,AR_East Kameng,10,0
265,AR_East Kameng,11,0
266,AR_East Kameng,12,0
267,AR_East Kameng,13,0
268,AR_East Kameng,14,33
269,AR_East Kameng,15,344
270,AR_East Kameng,16,242
271,AR_East Kameng,17,132
272,AR_East Siang,1,0
273,AR_East Siang,2,0
274,AR_East Siang,3,9
275,AR_East Siang,4,13
276,AR_East Siang,5,161
277,AR_East Siang,6,232
278,AR_East Siang,7,298
279,AR_East Siang,8,284
280,AR_East Siang,9,80
281,AR_East Siang,10,35
282,AR_East Siang,11,3
283,AR_East Siang,12,0
284,AR_East Siang,13,3
285,AR_East Siang,14,201
286,AR_East Siang,15,423
287,AR_East Siang,16,675
288,AR_East Siang,17,459
289,AR_Kamle,1,0
290,AR_Kamle,2,0
291,AR_Kamle,3,0
292,AR_Kamle,4,0
293,AR_Kamle,5,1
294,AR_Kamle,6,2
295,AR_Kamle,7,16
296,AR_Kamle,8,7
297,AR_Kamle,9,0
298,AR_Kamle,10,1
299,AR_Kamle,11,0
