,districtid,weekid,cases
0,AP_Anantapur,1,0
1,AP_Anantapur,2,0
2,AP_Anantapur,3,0
3,AP_Anantapur,4,0
4,AP_Anantapur,5,0
5,AP_Anantapur,6,0
6,AP_Anantapur,7,71
7,AP_Anantapur,8,31
8,AP_Anantapur,9,20
9,AP_Anantapur,10,14
10,AP_Anantapur,11,73
11,AP_Anantapur,12,65
12,AP_Anantapur,13,144
13,AP_Anantapur,14,371
14,AP_Anantapur,15,531
15,AP_Anantapur,16,779
16,AP_Anantapur,17,1062
17,AP_Anantapur,18,1343
18,AP_Anantapur,19,4485
19,AP_Anantapur,20,6838
20,AP_Anantapur,21,7422
21,AP_Anantapur,22,5698
22,AP_Anantapur,23,5380
23,AP_Anantapur,24,5133
24,AP_Anantapur,25,5087
25,AP_Anantapur,26,4238
26,AP_Anantapur,27,3513
27,AP_Anantapur,28,3431
28,AP_Anantapur,29,2594
29,AP_Anantapur,30,2313
30,AP_Anantapur,31,1632
31,AP_Anantapur,32,1322
32,AP_Anantapur,33,1016
33,AP_Anantapur,34,863
34,AP_Anantapur,35,634
35,AP_Anantapur,36,325
36,AP_Anantapur,37,226
37,AP_Anantapur,38,171
38,AP_Anantapur,39,164
39,AP_Anantapur,40,132
40,AP_Anantapur,41,127
41,AP_Anantapur,42,126
42,AP_Anantapur,43,116
43,AP_Anantapur,44,63
44,AP_Anantapur,45,51
45,AP_Anantapur,46,37
46,AP_Anantapur,47,32
47,AP_Anantapur,48,16
48,AP_Anantapur,49,29
49,AP_Anantapur,50,35
50,AP_Anantapur,51,48
51,AP_Anantapur,52,47
52,AP_Anantapur,53,98
53,AP_Anantapur,54,268
54,AP_Anantapur,55,331
55,AP_Anantapur,56,786
56,AP_Anantapur,57,1817
57,AP_Anantapur,58,4641
58,AP_Anantapur,59,8625
59,AP_Anantapur,60,12324
60,AP_Anantapur,61,14123
61,AP_Anantapur,62,15987
62,AP_Anantapur,63,9691
63,AP_Anantapur,64,7126
64,AP_Anantapur,65,5562
65,AP_Anantapur,66,2420
66,AP_Anantapur,67,1701
67,AP_Anantapur,68,980
68,AP_Anantapur,69,654
69,AP_Anantapur,70,498
70,AP_Anantapur,71,457
71,AP_Anantapur,72,335
72,AP_Anantapur,73,264
73,AP_Anantapur,74,235
74,AP_Chittoor,1,0
75,AP_Chittoor,2,0
76,AP_Chittoor,3,0
77,AP_Chittoor,4,0
78,AP_Chittoor,5,0
79,AP_Chittoor,6,0
80,AP_Chittoor,7,80
81,AP_Chittoor,8,16
82,AP_Chittoor,9,77
83,AP_Chittoor,10,35
84,AP_Chittoor,11,45
85,AP_Chittoor,12,45
86,AP_Chittoor,13,52
87,AP_Chittoor,14,165
88,AP_Chittoor,15,294
89,AP_Chittoor,16,441
90,AP_Chittoor,17,1259
91,AP_Chittoor,18,1698
92,AP_Chittoor,19,2662
93,AP_Chittoor,20,4458
94,AP_Chittoor,21,4922
95,AP_Chittoor,22,6229
96,AP_Chittoor,23,6418
97,AP_Chittoor,24,5869
98,AP_Chittoor,25,6869
99,AP_Chittoor,26,6807
100,AP_Chittoor,27,5618
101,AP_Chittoor,28,5184
102,AP_Chittoor,29,5255
103,AP_Chittoor,30,5111
104,AP_Chittoor,31,3588
105,AP_Chittoor,32,2897
106,AP_Chittoor,33,2248
107,AP_Chittoor,34,2095
108,AP_Chittoor,35,1538
109,AP_Chittoor,36,989
110,AP_Chittoor,37,615
111,AP_Chittoor,38,582
112,AP_Chittoor,39,581
113,AP_Chittoor,40,639
114,AP_Chittoor,41,450
115,AP_Chittoor,42,417
116,AP_Chittoor,43,305
117,AP_Chittoor,44,180
118,AP_Chittoor,45,195
119,AP_Chittoor,46,90
120,AP_Chittoor,47,93
121,AP_Chittoor,48,89
122,AP_Chittoor,49,95
123,AP_Chittoor,50,146
124,AP_Chittoor,51,203
125,AP_Chittoor,52,336
126,AP_Chittoor,53,369
127,AP_Chittoor,54,793
128,AP_Chittoor,55,1359
129,AP_Chittoor,56,2940
130,AP_Chittoor,57,5642
131,AP_Chittoor,58,9261
132,AP_Chittoor,59,13808
133,AP_Chittoor,60,15616
134,AP_Chittoor,61,16284
135,AP_Chittoor,62,18635
136,AP_Chittoor,63,15148
137,AP_Chittoor,64,11301
138,AP_Chittoor,65,8014
139,AP_Chittoor,66,6148
140,AP_Chittoor,67,4517
141,AP_Chittoor,68,3677
142,AP_Chittoor,69,2740
143,AP_Chittoor,70,2354
144,AP_Chittoor,71,2248
145,AP_Chittoor,72,2164
146,AP_Chittoor,73,2305
147,AP_Chittoor,74,1568
148,AP_East Godavari,1,0
149,AP_East Godavari,2,0
150,AP_East Godavari,3,0
151,AP_East Godavari,4,0
152,AP_East Godavari,5,0
153,AP_East Godavari,6,0
154,AP_East Godavari,7,45
155,AP_East Godavari,8,1
156,AP_East Godavari,9,6
157,AP_East Godavari,10,7
158,AP_East Godavari,11,131
159,AP_East Godavari,12,82
160,AP_East Godavari,13,48
161,AP_East Godavari,14,165
162,AP_East Godavari,15,460
163,AP_East Godavari,16,544
164,AP_East Godavari,17,885
165,AP_East Godavari,18,3125
166,AP_East Godavari,19,6892
167,AP_East Godavari,20,8880
168,AP_East Godavari,21,8889
169,AP_East Godavari,22,9258
170,AP_East Godavari,23,8571
171,AP_East Godavari,24,8941
172,AP_East Godavari,25,8774
173,AP_East Godavari,26,9690
174,AP_East Godavari,27,9853
175,AP_East Godavari,28,7937
176,AP_East Godavari,29,6775
177,AP_East Godavari,30,5383
178,AP_East Godavari,31,4269
179,AP_East Godavari,32,3495
180,AP_East Godavari,33,2638
181,AP_East Godavari,34,2657
182,AP_East Godavari,35,1901
183,AP_East Godavari,36,1188
184,AP_East Godavari,37,716
185,AP_East Godavari,38,406
186,AP_East Godavari,39,335
187,AP_East Godavari,40,320
188,AP_East Godavari,41,289
189,AP_East Godavari,42,199
190,AP_East Godavari,43,168
191,AP_East Godavari,44,132
192,AP_East Godavari,45,107
193,AP_East Godavari,46,89
194,AP_East Godavari,47,63
195,AP_East Godavari,48,42
196,AP_East Godavari,49,38
197,AP_East Godavari,50,53
198,AP_East Godavari,51,60
199,AP_East Godavari,52,107
200,AP_East Godavari,53,189
201,AP_East Godavari,54,425
202,AP_East Godavari,55,189
203,AP_East Godavari,56,359
204,AP_East Godavari,57,3436
205,AP_East Godavari,58,5104
206,AP_East Godavari,59,10145
207,AP_East Godavari,60,15888
208,AP_East Godavari,61,19837
209,AP_East Godavari,62,22783
210,AP_East Godavari,63,18146
211,AP_East Godavari,64,15918
212,AP_East Godavari,65,9615
213,AP_East Godavari,66,7605
214,AP_East Godavari,67,6037
215,AP_East Godavari,68,4698
216,AP_East Godavari,69,4460
217,AP_East Godavari,70,3117
218,AP_East Godavari,71,2738
219,AP_East Godavari,72,2075
220,AP_East Godavari,73,2690
221,AP_East Godavari,74,2321
222,AP_Guntur,1,0
223,AP_Guntur,2,0
224,AP_Guntur,3,0
225,AP_Guntur,4,0
226,AP_Guntur,5,0
227,AP_Guntur,6,0
228,AP_Guntur,7,308
229,AP_Guntur,8,68
230,AP_Guntur,9,37
231,AP_Guntur,10,13
232,AP_Guntur,11,52
233,AP_Guntur,12,78
234,AP_Guntur,13,56
235,AP_Guntur,14,130
