,districtid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
0,AP_Anantapur,41,123,5,15
1,AP_Chittoor,49,123,6,15
2,AP_East Godavari,53,123,6,15
3,AP_Guntur,39,121,5,14
4,AP_Krishna,51,123,7,14
5,AP_Kurnool,41,119,5,14
6,AP_Prakasam,51,119,6,15
7,AP_S.P.S. Nellore,49,121,6,14
8,AP_Srikakulam,49,119,6,14
9,AP_Visakhapatnam,41,123,5,14
10,AP_Vizianagaram,41,119,6,14
11,AP_West Godavari,51,123,6,15
12,AP_Y.S.R. Kadapa,49,121,6,14
13,AR_Anjaw,58,127,7,15
14,AR_Changlang,59,125,7,15
15,AR_East Kameng,42,129,5,15
16,AR_East Siang,61,137,7,16
17,AR_Kamle,57,138,7,17
18,AR_Kra Daadi,57,129,7,15
19,AR_Kurung Kumey,56,135,7,16
20,AR_Lepa Rada,59,141,7,17
21,AR_Lohit,63,141,7,16
22,AR_Longding,55,138,7,16
23,AR_Lower Dibang Valley,61,117,8,14
24,AR_Lower Siang,57,145,7,17
25,AR_Lower Subansiri,53,145,7,17
26,AR_Namsai,41,125,5,15
27,AR_Pakke Kessang,54,135,7,16
28,AR_Papum Pare,55,141,7,17
29,AR_Shi Yomi,67,137,8,17
30,AR_Siang,48,140,8,17
31,AR_Tawang,49,125,6,15
32,AR_Tirap,59,142,7,17
33,AR_Upper Dibang Valley,59,125,7,15
34,AR_Upper Siang,63,124,8,15
35,AR_Upper Subansiri,45,135,7,16
36,AR_West Kameng,44,139,6,16
37,AR_West Siang,59,141,7,17
38,AS_Dibrugarh,1,1,1,1
39,AS_Udalguri,1,1,1,1
40,BR_Araria,43,119,6,14
41,BR_Arwal,43,119,5,14
42,BR_Banka,41,117,5,14
43,BR_Begusarai,43,117,5,14
44,BR_Bhagalpur,45,117,5,14
45,BR_Bhojpur,39,115,5,14
46,BR_Buxar,43,116,5,14
47,BR_Darbhanga,43,119,5,14
48,BR_East Champaran,43,121,5,14
49,BR_Gaya,43,117,5,14
50,BR_Gopalganj,42,119,6,14
51,BR_Jamui,39,119,5,14
52,BR_Jehanabad,43,117,5,14
53,BR_Kaimur,43,117,5,14
54,BR_Katihar,41,121,5,14
55,BR_Khagaria,40,117,5,14
56,BR_Kishanganj,43,119,6,14
57,BR_Lakhisarai,43,117,5,14
58,BR_Madhepura,43,119,6,14
59,BR_Madhubani,45,119,6,14
60,BR_Munger,43,119,5,14
61,BR_Muzaffarpur,45,119,5,14
62,BR_Nalanda,39,119,5,14
63,BR_Nawada,39,117,5,14
64,BR_Patna,43,119,5,14
65,BR_Purnia,43,117,6,14
66,BR_Rohtas,39,117,5,14
67,BR_Saharsa,43,119,6,14
68,BR_Samastipur,42,120,5,14
69,BR_Saran,43,117,5,14
70,BR_Sheikhpura,43,119,5,14
71,BR_Sheohar,43,119,5,14
72,BR_Sitamarhi,44,119,5,14
73,BR_Siwan,35,117,5,14
74,BR_Supaul,53,117,7,14
75,BR_Vaishali,41,119,5,14
76,BR_West Champaran,43,119,5,14
77,CH_Chandigarh,53,119,6,14
78,CT_Balod,67,117,9,14
79,CT_Baloda Bazar,53,117,7,14
80,CT_Balrampur,46,115,6,14
81,CT_Bametara,67,113,8,14
82,CT_Bastar,91,117,7,14
83,CT_Bijapur,59,129,7,15
84,CT_Bilaspur,75,121,9,14
85,CT_Dakshin Bastar Dantewada,57,119,7,14
86,CT_Dhamtari,55,115,7,14
87,CT_Durg,55,113,7,14
88,CT_Gariaband,91,113,7,14
89,CT_Janjgir Champa,59,119,8,14
90,CT_Jashpur,63,119,10,14
91,CT_Kabeerdham,52,117,7,14
92,CT_Kondagaon,61,119,8,14
93,CT_Korba,61,117,8,14
94,CT_Koriya,57,119,7,14
95,CT_Mahasamund,91,119,9,14
96,CT_Mungeli,57,119,7,14
97,CT_Narayanpur,53,53,7,14
98,CT_Raigarh,57,119,7,14
99,CT_Raipur,51,113,6,14
100,CT_Rajnandgaon,52,113,7,14
101,CT_Sukma,56,127,7,15
102,CT_Surajpur,63,121,7,14
103,CT_Surguja,61,119,7,14
104,CT_Uttar Bastar Kanker,59,117,7,14
105,DN_Dadra and Nagar Haveli,45,115,5,14
106,DN_Daman,41,115,5,14
107,DN_Diu,40,126,6,14
108,GJ_Ahmedabad,13,117,3,14
109,GJ_Amreli,43,121,6,14
110,GJ_Anand,73,121,9,14
111,GJ_Aravalli,75,119,9,14
112,GJ_Banaskantha,71,117,9,14
113,GJ_Bharuch,57,121,6,14
114,GJ_Bhavnagar,49,117,6,14
115,GJ_Botad,41,115,5,14
116,GJ_Chhota Udaipur,49,119,6,14
117,GJ_Dahod,39,117,5,14
118,GJ_Dang,86,117,6,14
119,GJ_Devbhumi Dwarka,49,121,6,14
120,GJ_Gandhinagar,73,117,9,14
121,GJ_Gir Somnath,43,121,5,14
122,GJ_Jamnagar,53,119,7,14
123,GJ_Junagadh,35,121,7,14
124,GJ_Kheda,75,121,9,14
125,GJ_Kutch,55,121,7,14
126,GJ_Mahisagar,73,117,9,14
127,GJ_Mehsana,75,119,9,14
128,GJ_Morbi,51,119,6,14
129,GJ_Narmada,63,119,8,14
130,GJ_Navsari,39,119,5,14
131,GJ_Panchmahal,45,121,6,14
132,GJ_Patan,73,117,9,14
133,GJ_Porbandar,45,123,6,15
134,GJ_Rajkot,57,115,7,14
135,GJ_Sabarkantha,63,121,9,14
136,GJ_Surat,55,115,7,14
137,GJ_Surendranagar,39,117,5,14
138,GJ_Tapi,51,117,6,14
139,GJ_Vadodara,75,121,9,14
140,GJ_Valsad,39,117,5,14
141,HP_Chamba,77,121,9,14
142,HP_Hamirpur,51,117,6,14
143,HP_Kangra,75,121,9,14
144,HP_Kinnaur,75,123,9,15
145,HP_Kullu,71,121,9,14
146,HP_Lahaul and Spiti,71,117,9,14
147,HP_Mandi,69,120,9,14
148,HP_Shimla,75,121,9,14
149,HP_Sirmaur,53,121,6,14
150,HP_Solan,53,119,9,14
151,HP_Una,53,121,9,14
152,HR_Ambala,53,119,6,14
153,HR_Bhiwani,69,121,8,14
154,HR_Charkhi Dadri,53,121,8,14
155,HR_Faridabad,71,119,9,14
156,HR_Fatehabad,69,119,8,14
157,HR_Gurugram,69,117,9,14
158,HR_Hisar,69,119,8,14
159,HR_Jhajjar,51,123,8,14
160,HR_Jind,51,117,9,14
161,HR_Kaithal,49,119,6,14
162,HR_Karnal,51,117,6,14
163,HR_Kurukshetra,51,119,6,14
164,HR_Mahendragarh,69,119,8,14
165,HR_Nuh,51,119,6,14
166,HR_Palwal,53,121,7,14
167,HR_Panchkula,51,119,6,14
168,HR_Panipat,51,119,6,14
169,HR_Rewari,73,123,8,14
170,HR_Rohtak,53,121,8,14
171,HR_Sirsa,53,121,7,14
172,HR_Sonipat,53,119,7,14
173,HR_Yamunanagar,51,119,6,14
174,JH_Bokaro,51,119,6,14
175,JH_Chatra,48,117,6,14
176,JH_Deoghar,40,117,6,14
177,JH_Dhanbad,45,117,6,14
178,JH_Dumka,48,116,6,14
179,JH_East Singhbhum,49,119,6,14
180,JH_Garhwa,55,121,6,14
181,JH_Giridih,49,119,6,14
182,JH_Godda,40,118,7,14
183,JH_Gumla,49,119,6,14
184,JH_Hazaribagh,51,119,6,14
185,JH_Jamtara,49,116,6,14
186,JH_Khunti,41,119,6,14
187,JH_Koderma,49,115,6,14
188,JH_Latehar,49,119,6,14
189,JH_Lohardaga,56,117,7,14
190,JH_Pakur,55,120,6,14
191,JH_Palamu,43,121,6,14
192,JH_Ramgarh,49,119,6,14
193,JH_Ranchi,49,117,7,14
194,JH_Sahibganj,47,115,6,14
195,JH_Saraikela-Kharsawan,49,119,6,14
196,JH_Simdega,51,119,6,14
197,JH_West Singhbhum,50,119,6,14
198,JK_Anantnag,53,119,6,14
199,JK_Bandipora,45,123,6,15
200,JK_Baramulla,65,119,8,14
201,JK_Budgam,52,123,6,14
202,JK_Doda,53,121,7,15
203,JK_Ganderbal,53,125,6,15
204,JK_Jammu,51,121,6,14
205,JK_Kathua,53,121,7,14
206,JK_Kishtwar,55,121,7,15
207,JK_Kulgam,37,120,5,14
208,JK_Kupwara,51,125,6,15
209,JK_Pulwama,53,121,5,14
210,JK_Punch,53,121,7,15
211,JK_Rajouri,53,121,7,14
212,JK_Ramban,55,123,7,15
213,JK_Reasi,53,115,7,14
214,JK_Samba,53,121,7,14
215,JK_Shopiyan,37,120,5,14
216,JK_Srinagar,51,119,7,14
217,JK_Udhampur,51,123,7,14
218,KA_Bagalkote,51,120,6,14
219,KA_Ballari,43,121,6,14
220,KA_Belagavi,49,123,6,15
221,KA_Bengaluru Rural,61,121,7,14
222,KA_Bengaluru Urban,59,119,7,14
223,KA_Chamarajanagara,57,121,7,14
