,districtid,monthid,dose1,dose2
0,AP_Anantapur,1,0.0,0.0
1,AP_Anantapur,2,0.0,0.0
2,AP_Anantapur,3,0.0,0.0
3,AP_Anantapur,4,0.0,0.0
4,AP_Anantapur,5,0.0,0.0
5,AP_Anantapur,6,0.0,0.0
6,AP_Anantapur,7,0.0,0.0
7,AP_Anantapur,8,0.0,0.0
8,AP_Anantapur,9,0.0,0.0
9,AP_Anantapur,10,0.0,0.0
10,AP_Anantapur,11,15323.0,730.0
11,AP_Anantapur,12,36338.0,11643.0
12,AP_Anantapur,13,242692.0,19491.0
13,AP_Anantapur,14,145083.0,138462.0
14,AP_Anantapur,15,255630.0,30980.0
15,AP_Anantapur,16,328311.0,101751.0
16,AP_Anantapur,17,327425.0,288557.0
17,AP_Chittoor,1,0.0,0.0
18,AP_Chittoor,2,0.0,0.0
19,AP_Chittoor,3,0.0,0.0
20,AP_Chittoor,4,0.0,0.0
21,AP_Chittoor,5,0.0,0.0
22,AP_Chittoor,6,0.0,0.0
23,AP_Chittoor,7,0.0,0.0
24,AP_Chittoor,8,0.0,0.0
25,AP_Chittoor,9,0.0,0.0
26,AP_Chittoor,10,0.0,0.0
27,AP_Chittoor,11,30004.0,340.0
28,AP_Chittoor,12,50481.0,20919.0
29,AP_Chittoor,13,293553.0,28829.0
30,AP_Chittoor,14,140532.0,138172.0
31,AP_Chittoor,15,290636.0,45432.0
32,AP_Chittoor,16,337988.0,84115.0
33,AP_Chittoor,17,402361.0,318491.0
34,AP_East Godavari,1,0.0,0.0
35,AP_East Godavari,2,0.0,0.0
36,AP_East Godavari,3,0.0,0.0
37,AP_East Godavari,4,0.0,0.0
38,AP_East Godavari,5,0.0,0.0
39,AP_East Godavari,6,0.0,0.0
40,AP_East Godavari,7,0.0,0.0
41,AP_East Godavari,8,0.0,0.0
42,AP_East Godavari,9,0.0,0.0
43,AP_East Godavari,10,0.0,0.0
44,AP_East Godavari,11,40366.0,301.0
45,AP_East Godavari,12,56496.0,25060.0
46,AP_East Godavari,13,274302.0,38791.0
47,AP_East Godavari,14,114881.0,138673.0
48,AP_East Godavari,15,449659.0,49546.0
49,AP_East Godavari,16,451447.0,110714.0
50,AP_East Godavari,17,513546.0,179594.0
51,AP_Guntur,1,0.0,0.0
52,AP_Guntur,2,0.0,0.0
53,AP_Guntur,3,0.0,0.0
54,AP_Guntur,4,0.0,0.0
55,AP_Guntur,5,0.0,0.0
56,AP_Guntur,6,0.0,0.0
57,AP_Guntur,7,0.0,0.0
58,AP_Guntur,8,0.0,0.0
59,AP_Guntur,9,0.0,0.0
60,AP_Guntur,10,0.0,0.0
61,AP_Guntur,11,22279.0,1086.0
62,AP_Guntur,12,52211.0,16994.0
63,AP_Guntur,13,255087.0,32193.0
64,AP_Guntur,14,157302.0,110863.0
65,AP_Guntur,15,367233.0,57938.0
66,AP_Guntur,16,454303.0,113768.0
67,AP_Guntur,17,422444.0,245173.0
68,AP_Krishna,1,0.0,0.0
69,AP_Krishna,2,0.0,0.0
70,AP_Krishna,3,0.0,0.0
71,AP_Krishna,4,0.0,0.0
72,AP_Krishna,5,0.0,0.0
73,AP_Krishna,6,0.0,0.0
74,AP_Krishna,7,0.0,0.0
75,AP_Krishna,8,0.0,0.0
76,AP_Krishna,9,0.0,0.0
77,AP_Krishna,10,0.0,0.0
78,AP_Krishna,11,24659.0,525.0
79,AP_Krishna,12,46694.0,19814.0
80,AP_Krishna,13,282691.0,24635.0
81,AP_Krishna,14,132344.0,141979.0
82,AP_Krishna,15,437740.0,45048.0
83,AP_Krishna,16,371780.0,130724.0
84,AP_Krishna,17,443154.0,164584.0
85,AP_Kurnool,1,0.0,0.0
86,AP_Kurnool,2,0.0,0.0
87,AP_Kurnool,3,0.0,0.0
88,AP_Kurnool,4,0.0,0.0
89,AP_Kurnool,5,0.0,0.0
90,AP_Kurnool,6,0.0,0.0
91,AP_Kurnool,7,0.0,0.0
92,AP_Kurnool,8,0.0,0.0
93,AP_Kurnool,9,0.0,0.0
94,AP_Kurnool,10,0.0,0.0
95,AP_Kurnool,11,21404.0,507.0
96,AP_Kurnool,12,28882.0,14108.0
97,AP_Kurnool,13,233900.0,19298.0
98,AP_Kurnool,14,96983.0,116951.0
99,AP_Kurnool,15,261254.0,25655.0
100,AP_Kurnool,16,277847.0,73787.0
101,AP_Kurnool,17,293580.0,230299.0
102,AP_Prakasam,1,0.0,0.0
103,AP_Prakasam,2,0.0,0.0
