,districtid,weekid,dose1,dose2
0,AP_Anantapur,1,0.0,0.0
1,AP_Anantapur,2,0.0,0.0
2,AP_Anantapur,3,0.0,0.0
3,AP_Anantapur,4,0.0,0.0
4,AP_Anantapur,5,0.0,0.0
5,AP_Anantapur,6,0.0,0.0
6,AP_Anantapur,7,0.0,0.0
7,AP_Anantapur,8,0.0,0.0
8,AP_Anantapur,9,0.0,0.0
9,AP_Anantapur,10,0.0,0.0
10,AP_Anantapur,11,0.0,0.0
11,AP_Anantapur,12,0.0,0.0
12,AP_Anantapur,13,0.0,0.0
13,AP_Anantapur,14,0.0,0.0
14,AP_Anantapur,15,0.0,0.0
15,AP_Anantapur,16,0.0,0.0
16,AP_Anantapur,17,0.0,0.0
17,AP_Anantapur,18,0.0,0.0
18,AP_Anantapur,19,0.0,0.0
19,AP_Anantapur,20,0.0,0.0
20,AP_Anantapur,21,0.0,0.0
21,AP_Anantapur,22,0.0,0.0
22,AP_Anantapur,23,0.0,0.0
23,AP_Anantapur,24,0.0,0.0
24,AP_Anantapur,25,0.0,0.0
25,AP_Anantapur,26,0.0,0.0
26,AP_Anantapur,27,0.0,0.0
27,AP_Anantapur,28,0.0,0.0
28,AP_Anantapur,29,0.0,0.0
29,AP_Anantapur,30,0.0,0.0
30,AP_Anantapur,31,0.0,0.0
31,AP_Anantapur,32,0.0,0.0
32,AP_Anantapur,33,0.0,0.0
33,AP_Anantapur,34,0.0,0.0
34,AP_Anantapur,35,0.0,0.0
35,AP_Anantapur,36,0.0,0.0
36,AP_Anantapur,37,0.0,0.0
37,AP_Anantapur,38,0.0,0.0
38,AP_Anantapur,39,0.0,0.0
39,AP_Anantapur,40,0.0,0.0
40,AP_Anantapur,41,0.0,0.0
41,AP_Anantapur,42,0.0,0.0
42,AP_Anantapur,43,0.0,0.0
43,AP_Anantapur,44,287.0,0.0
44,AP_Anantapur,45,3802.0,0.0
45,AP_Anantapur,46,3115.0,0.0
46,AP_Anantapur,47,5029.0,0.0
47,AP_Anantapur,48,3090.0,730.0
48,AP_Anantapur,49,7823.0,6535.0
49,AP_Anantapur,50,12487.0,2936.0
50,AP_Anantapur,51,5747.0,1603.0
51,AP_Anantapur,52,11607.0,1665.0
52,AP_Anantapur,53,36732.0,2275.0
53,AP_Anantapur,54,76134.0,8658.0
54,AP_Anantapur,55,41180.0,2254.0
55,AP_Anantapur,56,56584.0,3931.0
56,AP_Anantapur,57,36573.0,2764.0
57,AP_Anantapur,58,63040.0,33895.0
58,AP_Anantapur,59,49088.0,38962.0
59,AP_Anantapur,60,28427.0,54745.0
60,AP_Anantapur,61,4609.0,11140.0
61,AP_Anantapur,62,5383.0,5770.0
62,AP_Anantapur,63,117444.0,7162.0
63,AP_Anantapur,64,60972.0,8832.0
64,AP_Anantapur,65,50427.0,8729.0
65,AP_Anantapur,66,25728.0,736.0
66,AP_Anantapur,67,122622.0,21682.0
67,AP_Anantapur,68,105115.0,28536.0
68,AP_Anantapur,69,19108.0,979.0
69,AP_Anantapur,70,85573.0,93324.0
70,AP_Anantapur,71,29879.0,59407.0
71,AP_Anantapur,72,84350.0,66175.0
72,AP_Anantapur,73,107455.0,64406.0
73,AP_Anantapur,74,104964.0,59515.0
74,AP_Chittoor,1,0.0,0.0
75,AP_Chittoor,2,0.0,0.0
76,AP_Chittoor,3,0.0,0.0
77,AP_Chittoor,4,0.0,0.0
78,AP_Chittoor,5,0.0,0.0
79,AP_Chittoor,6,0.0,0.0
80,AP_Chittoor,7,0.0,0.0
81,AP_Chittoor,8,0.0,0.0
82,AP_Chittoor,9,0.0,0.0
83,AP_Chittoor,10,0.0,0.0
84,AP_Chittoor,11,0.0,0.0
85,AP_Chittoor,12,0.0,0.0
86,AP_Chittoor,13,0.0,0.0
87,AP_Chittoor,14,0.0,0.0
88,AP_Chittoor,15,0.0,0.0
89,AP_Chittoor,16,0.0,0.0
90,AP_Chittoor,17,0.0,0.0
91,AP_Chittoor,18,0.0,0.0
92,AP_Chittoor,19,0.0,0.0
93,AP_Chittoor,20,0.0,0.0
94,AP_Chittoor,21,0.0,0.0
95,AP_Chittoor,22,0.0,0.0
96,AP_Chittoor,23,0.0,0.0
97,AP_Chittoor,24,0.0,0.0
98,AP_Chittoor,25,0.0,0.0
99,AP_Chittoor,26,0.0,0.0
100,AP_Chittoor,27,0.0,0.0
101,AP_Chittoor,28,0.0,0.0
102,AP_Chittoor,29,0.0,0.0
