,districtid,vaccineratio
453,OR_Khordha,0.23133879598266568
39,AS_Barpeta,0.8175445806790419
95,BR_Patna,0.9303614262811958
361,MH_Bhandara,1.18200693259198
66,AS_Sonitpur,1.3939737445866878
366,MH_Gondia,1.409047594475119
388,MH_Washim,1.5209167038962768
141,DL_New Delhi,1.785724561787149
583,TG_Ranga Reddy,2.0917717354681136
562,TG_Hyderabad,2.195341649599702
147,DL_South East Delhi,2.209949336521148
384,MH_Sindhudurg,2.5243195041628774
505,RJ_Jaipur,2.5934046869161373
160,GJ_Chhota Udaipur,2.650625841519972
530,TN_Chennai,2.69187813138854
445,OR_Ganjam,2.720724030069213
149,DL_West Delhi,2.7277479666046527
381,MH_Ratnagiri,2.758072925483292
327,MP_Jabalpur,2.784700280975798
144,DL_North West Delhi,2.850941572185294
153,GJ_Amreli,2.861830399438023
155,GJ_Aravalli,2.954907695769044
362,MH_Buldhana,2.957847949462121
558,TN_Vellore,2.9603262465827704
667,UP_Sonbhadra,3.048922753039565
603,UP_Amethi,3.052419554324242
250,JH_Khunti,3.069781291713728
625,UP_Fatehpur,3.101741305556227
199,HR_Palwal,3.105898669356403
139,DL_Central Delhi,3.129454809416095
248,JH_Hazaribagh,3.135452955768527
165,GJ_Gir Somnath,3.3174342934974526
142,DL_North Delhi,3.328080229226361
374,MH_Nanded,3.3332083741853626
195,HR_Karnal,3.3610857597079518
358,MH_Amravati,3.3628811553468076
174,GJ_Navsari,3.3741068674497745
364,MH_Dhule,3.3995421508900536
131,CT_Raipur,3.4352665696748477
255,JH_Palamu,3.436266312193588
146,DL_South Delhi,3.4407559154470144
575,TG_Mulugu,3.49829277935521
472,PB_Fatehgarh Sahib,3.5247451989092387
367,MH_Hingoli,3.5977255175129095
591,TG_Yadadri Bhuvanagiri,3.6037524229826765
565,TG_Jayashankar Bhupalapally,3.671781033153431
168,GJ_Kheda,3.6876517143980254
377,MH_Osmanabad,3.7096896541915174
205,HR_Sonipat,3.859330161726604
356,MH_Ahmednagar,3.8884608449610254
352,MP_Tikamgarh,3.8930761818821407
490,RJ_Ajmer,3.8965012917633666
253,JH_Lohardaga,3.9463053004382016
371,MH_Latur,3.959435048796751
365,MH_Gadchiroli,3.9623322007463933
3,AP_Guntur,3.9683476973510285
643,UP_Kushinagar,4.029314571366772
257,JH_Ranchi,4.031428213468704
163,GJ_Devbhumi Dwarka,4.044001333654398
468,PB_Amritsar,4.076947539382376
267,KA_Chamarajanagara,4.1247704027862815
177,GJ_Porbandar,4.125337895637297
53,AS_Hojai,4.182027522682772
6,AP_Prakasam,4.1990831637692025
4,AP_Krishna,4.2254540766824755
143,DL_North East Delhi,4.2277111644018115
584,TG_Sangareddy,4.330860399891432
342,MP_Sagar,4.340802447013327
283,KA_Raichur,4.344446930707839
357,MH_Akola,4.345422711355678
521,RJ_Tonk,4.37857597165895
369,MH_Jalna,4.415916834105006
242,JH_Dumka,4.442216179469749
646,UP_Maharajganj,4.444676048054386
173,GJ_Narmada,4.486903030383902
145,DL_Shahdara,4.503272476748191
185,HR_Ambala,4.505848806527316
