,stateid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
0,AP,49,123,6,14
1,AR,55,141,7,15
2,AS,1,1,1,1
3,BR,43,119,5,14
4,CH,53,119,6,14
5,CT,53,115,7,14
6,DN,43,115,5,14
7,GJ,73,117,9,14
8,HP,75,121,9,14
9,HR,53,119,9,14
10,JH,49,117,6,14
11,JK,51,119,7,14
12,KA,59,119,7,14
13,KL,59,119,8,14
14,LA,59,113,8,14
15,MH,51,115,6,14
16,ML,58,123,7,15
17,MN,1,1,1,1
18,MP,53,117,7,14
19,MZ,65,143,8,17
20,NL,51,123,5,15
21,OR,55,123,6,15
22,PB,53,121,6,14
23,PY,55,121,6,14
24,RJ,73,119,9,14
25,TN,39,123,6,15
26,TR,51,123,6,15
27,UP,51,115,6,14
28,UT,53,119,7,14
29,WB,63,121,8,14
