,Stateid,Overall,dose1,dose2
0,AP,1,18516141.0,6485212.0
1,AR,1,605965.0,171142.0
2,AS,1,11430053.0,2442900.0
3,BR,1,24625923.0,4787904.0
4,CH,1,733579.0,244351.0
5,CT,1,9272843.0,2753058.0
6,DL,1,8251002.0,3265001.0
7,DN,1,598380.0,90421.0
8,GA,1,1112815.0,329909.0
9,GJ,1,24580286.0,8107810.0
10,HP,1,4660794.0,1413611.0
11,HR,1,10492106.0,3191505.0
12,JH,1,8797921.0,2134931.0
13,JK,1,5546227.0,1573432.0
14,KA,1,23973327.0,7158711.0
15,KL,1,17281691.0,6657813.0
16,LA,1,189535.0,72825.0
17,MH,1,35933707.0,12666027.0
18,ML,1,968800.0,257359.0
19,MN,1,1173886.0,266350.0
20,MP,1,31664637.0,6093628.0
21,MZ,1,480772.0,156707.0
22,NL,1,639379.0,167940.0
23,OR,1,14320237.0,4210335.0
24,PB,1,8406019.0,2518633.0
25,PY,1,589684.0,152088.0
26,RJ,1,26785163.0,8391539.0
27,SK,1,500829.0,158042.0
28,TG,1,10505094.0,3617443.0
29,TN,1,18182791.0,4162345.0
30,TR,1,2433697.0,826786.0
31,UP,1,46074600.0,8819386.0
32,UT,1,5495857.0,1722454.0
33,WB,1,21671994.0,8091877.0
