,Stateid,monthid,dose1,dose2
0,AP,1,0.0,0.0
1,AP,2,0.0,0.0
2,AP,3,0.0,0.0
3,AP,4,0.0,0.0
4,AP,5,0.0,0.0
5,AP,6,0.0,0.0
6,AP,7,0.0,0.0
7,AP,8,0.0,0.0
8,AP,9,0.0,0.0
9,AP,10,0.0,0.0
10,AP,11,313509.0,6234.0
11,AP,12,520375.0,220580.0
12,AP,13,3055933.0,338253.0
13,AP,14,1470643.0,1502801.0
14,AP,15,4198737.0,468723.0
15,AP,16,4425405.0,1208318.0
16,AP,17,4273732.0,2597481.0
17,AR,1,0.0,0.0
18,AR,2,0.0,0.0
19,AR,3,0.0,0.0
20,AR,4,0.0,0.0
21,AR,5,0.0,0.0
22,AR,6,0.0,0.0
23,AR,7,0.0,0.0
24,AR,8,0.0,0.0
25,AR,9,0.0,0.0
26,AR,10,0.0,0.0
27,AR,11,13274.0,456.0
28,AR,12,30735.0,10985.0
29,AR,13,75505.0,20352.0
30,AR,14,90439.0,43435.0
31,AR,15,123064.0,1231.0
32,AR,16,264704.0,45250.0
33,AR,17,83211.0,70739.0
34,AS,1,0.0,0.0
35,AS,2,0.0,0.0
36,AS,3,0.0,0.0
37,AS,4,0.0,0.0
38,AS,5,0.0,0.0
39,AS,6,0.0,0.0
40,AS,7,0.0,0.0
41,AS,8,0.0,0.0
42,AS,9,0.0,0.0
43,AS,10,0.0,0.0
44,AS,11,122161.0,2016.0
45,AS,12,346186.0,80270.0
46,AS,13,788683.0,188933.0
47,AS,14,1300675.0,449869.0
48,AS,15,1305010.0,223418.0
49,AS,16,3058028.0,464601.0
50,AS,17,4356650.0,972692.0
51,BR,1,0.0,0.0
52,BR,2,0.0,0.0
53,BR,3,0.0,0.0
54,BR,4,0.0,0.0
55,BR,5,0.0,0.0
56,BR,6,0.0,0.0
57,BR,7,0.0,0.0
58,BR,8,0.0,0.0
59,BR,9,0.0,0.0
60,BR,10,0.0,0.0
61,BR,11,444057.0,52.0
62,BR,12,596002.0,274788.0
63,BR,13,3419023.0,298316.0
64,BR,14,2275878.0,1023369.0
65,BR,15,2955322.0,229426.0
66,BR,16,6057801.0,881589.0
67,BR,17,8133074.0,1896567.0
68,CH,1,0.0,0.0
69,CH,2,0.0,0.0
70,CH,3,0.0,0.0
71,CH,4,0.0,0.0
72,CH,5,0.0,0.0
73,CH,6,0.0,0.0
74,CH,7,0.0,0.0
75,CH,8,0.0,0.0
76,CH,9,0.0,0.0
77,CH,10,0.0,0.0
78,CH,11,6712.0,117.0
79,CH,12,31195.0,5655.0
80,CH,13,68433.0,15155.0
81,CH,14,94907.0,49229.0
82,CH,15,125120.0,2221.0
83,CH,16,177444.0,50035.0
84,CH,17,207598.0,115153.0
85,CT,1,0.0,0.0
86,CT,2,0.0,0.0
87,CT,3,0.0,0.0
88,CT,4,0.0,0.0
89,CT,5,0.0,0.0
90,CT,6,0.0,0.0
91,CT,7,0.0,0.0
92,CT,8,0.0,0.0
93,CT,9,0.0,0.0
94,CT,10,0.0,0.0
95,CT,11,247094.0,905.0
96,CT,12,430921.0,185838.0
97,CT,13,3374377.0,236775.0
98,CT,14,803567.0,590108.0
99,CT,15,113068.0,84233.0
100,CT,16,2543862.0,713594.0
101,CT,17,1596392.0,860181.0
102,DL,1,0.0,0.0
103,DL,2,0.0,0.0
104,DL,3,0.0,0.0
105,DL,4,0.0,0.0
106,DL,5,0.0,0.0
107,DL,6,0.0,0.0
108,DL,7,0.0,0.0
109,DL,8,0.0,0.0
110,DL,9,0.0,0.0
111,DL,10,0.0,0.0
112,DL,11,178176.0,1967.0
113,DL,12,305404.0,116666.0
114,DL,13,1457569.0,274429.0
115,DL,14,1349667.0,586054.0
116,DL,15,1226011.0,417238.0
117,DL,16,2283143.0,662286.0
118,DL,17,1227348.0,1101750.0
119,DN,1,0.0,0.0
120,DN,2,0.0,0.0
121,DN,3,0.0,0.0
122,DN,4,0.0,0.0
123,DN,5,0.0,0.0
124,DN,6,0.0,0.0
125,DN,7,0.0,0.0
126,DN,8,0.0,0.0
127,DN,9,0.0,0.0
128,DN,10,0.0,0.0
129,DN,11,4060.0,71.0
130,DN,12,9985.0,3164.0
131,DN,13,52821.0,6474.0
132,DN,14,19493.0,14394.0
133,DN,15,154137.0,544.0
134,DN,16,240767.0,37193.0
135,DN,17,99255.0,25906.0
136,GA,1,0.0,0.0
137,GA,2,0.0,0.0
138,GA,3,0.0,0.0
139,GA,4,0.0,0.0
140,GA,5,0.0,0.0
141,GA,6,0.0,0.0
142,GA,7,0.0,0.0
143,GA,8,0.0,0.0
144,GA,9,0.0,0.0
145,GA,10,0.0,0.0
146,GA,11,13277.0,309.0
147,GA,12,41864.0,11372.0
148,GA,13,106683.0,23392.0
149,GA,14,159081.0,53318.0
150,GA,15,217423.0,4308.0
151,GA,16,376778.0,91409.0
152,GA,17,152336.0,134506.0
153,GJ,1,0.0,0.0
154,GJ,2,0.0,0.0
155,GJ,3,0.0,0.0
156,GJ,4,0.0,0.0
157,GJ,5,0.0,0.0
158,GJ,6,0.0,0.0
159,GJ,7,0.0,0.0
160,GJ,8,0.0,0.0
161,GJ,9,0.0,0.0
162,GJ,10,0.0,0.0
163,GJ,11,761549.0,6.0
164,GJ,12,1189556.0,506865.0
165,GJ,13,6528566.0,703760.0
166,GJ,14,2452452.0,2540755.0
167,GJ,15,4765517.0,765222.0
168,GJ,16,5770684.0,1877490.0
169,GJ,17,8063472.0,3016962.0
170,HP,1,0.0,0.0
171,HP,2,0.0,0.0
172,HP,3,0.0,0.0
173,HP,4,0.0,0.0
174,HP,5,0.0,0.0
175,HP,6,0.0,0.0
176,HP,7,0.0,0.0
177,HP,8,0.0,0.0
178,HP,9,0.0,0.0
179,HP,10,0.0,0.0
180,HP,11,72906.0,449.0
181,HP,12,81708.0,58459.0
182,HP,13,803416.0,49220.0
183,HP,14,647415.0,273242.0
184,HP,15,378664.0,3121.0
185,HP,16,1186965.0,485683.0
186,HP,17,1392427.0,505489.0
187,HR,1,0.0,0.0
188,HR,2,0.0,0.0
189,HR,3,0.0,0.0
190,HR,4,0.0,0.0
191,HR,5,0.0,0.0
192,HR,6,0.0,0.0
193,HR,7,0.0,0.0
194,HR,8,0.0,0.0
195,HR,9,0.0,0.0
196,HR,10,0.0,0.0
197,HR,11,177689.0,590.0
198,HR,12,186610.0,99961.0
199,HR,13,2060340.0,148868.0
200,HR,14,1335334.0,624809.0
201,HR,15,1819994.0,161121.0
202,HR,16,2461822.0,773364.0
203,HR,17,2124935.0,1299930.0
204,JH,1,0.0,0.0
205,JH,2,0.0,0.0
206,JH,3,0.0,0.0
207,JH,4,0.0,0.0
208,JH,5,0.0,0.0
209,JH,6,0.0,0.0
210,JH,7,0.0,0.0
211,JH,8,0.0,0.0
212,JH,9,0.0,0.0
213,JH,10,0.0,0.0
214,JH,11,203227.0,2197.0
215,JH,12,249198.0,141576.0
216,JH,13,1786176.0,155697.0
217,JH,14,507070.0,332212.0
218,JH,15,1506702.0,150646.0
219,JH,16,2139598.0,553627.0
220,JH,17,2177784.0,736277.0
221,JK,1,0.0,0.0
222,JK,2,0.0,0.0
223,JK,3,0.0,0.0
224,JK,4,0.0,0.0
225,JK,5,0.0,0.0
226,JK,6,0.0,0.0
227,JK,7,0.0,0.0
228,JK,8,0.0,0.0
229,JK,9,0.0,0.0
230,JK,10,0.0,0.0
231,JK,11,118293.0,722.0
232,JK,12,228860.0,54887.0
233,JK,13,855409.0,136215.0
234,JK,14,1016010.0,312894.0
235,JK,15,830827.0,52691.0
236,JK,16,1217289.0,287870.0
237,JK,17,1093720.0,662305.0
238,KA,1,0.0,0.0
239,KA,2,0.0,0.0
240,KA,3,0.0,0.0
241,KA,4,0.0,0.0
242,KA,5,0.0,0.0
243,KA,6,0.0,0.0
244,KA,7,0.0,0.0
245,KA,8,0.0,0.0
246,KA,9,0.0,0.0
247,KA,10,0.0,0.0
248,KA,11,412678.0,15.0
249,KA,12,533957.0,303062.0
250,KA,13,4427523.0,261957.0
251,KA,14,2648654.0,1649621.0
252,KA,15,5029496.0,504349.0
253,KA,16,6659802.0,1794564.0
254,KA,17,4674453.0,2663592.0
255,KL,1,0.0,0.0
256,KL,2,0.0,0.0
257,KL,3,0.0,0.0
258,KL,4,0.0,0.0
259,KL,5,0.0,0.0
260,KL,6,0.0,0.0
261,KL,7,0.0,0.0
262,KL,8,0.0,0.0
263,KL,9,0.0,0.0
264,KL,10,0.0,0.0
265,KL,11,340407.0,45.0
266,KL,12,691705.0,277085.0
267,KL,13,3614621.0,260602.0
268,KL,14,1390852.0,1372407.0
269,KL,15,2727756.0,276421.0
270,KL,16,2480709.0,2090136.0
271,KL,17,5425566.0,2153682.0
272,LA,1,0.0,0.0
273,LA,2,0.0,0.0
274,LA,3,0.0,0.0
275,LA,4,0.0,0.0
276,LA,5,0.0,0.0
277,LA,6,0.0,0.0
278,LA,7,0.0,0.0
279,LA,8,0.0,0.0
280,LA,9,0.0,0.0
281,LA,10,0.0,0.0
282,LA,11,2831.0,71.0
283,LA,12,28420.0,2779.0
284,LA,13,33219.0,6162.0
285,LA,14,18770.0,27560.0
286,LA,15,68362.0,141.0
287,LA,16,28423.0,24314.0
288,LA,17,4895.0,10922.0
289,MH,1,0.0,0.0
290,MH,2,0.0,0.0
291,MH,3,0.0,0.0
292,MH,4,0.0,0.0
293,MH,5,0.0,0.0
294,MH,6,0.0,0.0
295,MH,7,0.0,0.0
296,MH,8,0.0,0.0
297,MH,9,0.0,0.0
298,MH,10,0.0,0.0
299,MH,11,647515.0,170.0
300,MH,12,1313031.0,404679.0
301,MH,13,7766528.0,636727.0
302,MH,14,5128260.0,2945848.0
303,MH,15,5273257.0,1008695.0
304,MH,16,8178739.0,3049956.0
305,MH,17,6592435.0,4215560.0
306,ML,1,0.0,0.0
307,ML,2,0.0,0.0
308,ML,3,0.0,0.0
309,ML,4,0.0,0.0
310,ML,5,0.0,0.0
311,ML,6,0.0,0.0
312,ML,7,0.0,0.0
313,ML,8,0.0,0.0
314,ML,9,0.0,0.0
315,ML,10,0.0,0.0
316,ML,11,12906.0,91.0
317,ML,12,42641.0,10727.0
318,ML,13,56915.0,28843.0
319,ML,14,200873.0,31335.0
320,ML,15,115336.0,668.0
321,ML,16,290561.0,32160.0
322,ML,17,210245.0,145813.0
323,MN,1,0.0,0.0
324,MN,2,0.0,0.0
325,MN,3,0.0,0.0
326,MN,4,0.0,0.0
327,MN,5,0.0,0.0
328,MN,6,0.0,0.0
329,MN,7,0.0,0.0
330,MN,8,0.0,0.0
331,MN,9,0.0,0.0
332,MN,10,0.0,0.0
333,MN,11,21284.0,169.0
