,Stateid,weekid,dose1,dose2
0,AP,1,0.0,0.0
1,AP,2,0.0,0.0
2,AP,3,0.0,0.0
3,AP,4,0.0,0.0
4,AP,5,0.0,0.0
5,AP,6,0.0,0.0
6,AP,7,0.0,0.0
7,AP,8,0.0,0.0
8,AP,9,0.0,0.0
9,AP,10,0.0,0.0
10,AP,11,0.0,0.0
11,AP,12,0.0,0.0
12,AP,13,0.0,0.0
13,AP,14,0.0,0.0
14,AP,15,0.0,0.0
15,AP,16,0.0,0.0
16,AP,17,0.0,0.0
17,AP,18,0.0,0.0
18,AP,19,0.0,0.0
19,AP,20,0.0,0.0
20,AP,21,0.0,0.0
21,AP,22,0.0,0.0
22,AP,23,0.0,0.0
23,AP,24,0.0,0.0
24,AP,25,0.0,0.0
25,AP,26,0.0,0.0
26,AP,27,0.0,0.0
27,AP,28,0.0,0.0
28,AP,29,0.0,0.0
29,AP,30,0.0,0.0
30,AP,31,0.0,0.0
31,AP,32,0.0,0.0
32,AP,33,0.0,0.0
33,AP,34,0.0,0.0
34,AP,35,0.0,0.0
35,AP,36,0.0,0.0
36,AP,37,0.0,0.0
37,AP,38,0.0,0.0
38,AP,39,0.0,0.0
39,AP,40,0.0,0.0
40,AP,41,0.0,0.0
41,AP,42,0.0,0.0
42,AP,43,0.0,0.0
43,AP,44,4216.0,0.0
44,AP,45,66164.0,0.0
45,AP,46,63191.0,0.0
46,AP,47,112367.0,0.0
47,AP,48,67569.0,6233.0
48,AP,49,100311.0,81237.0
49,AP,50,122137.0,50342.0
50,AP,51,117103.0,45307.0
51,AP,52,195605.0,54193.0
52,AP,53,445838.0,61917.0
53,AP,54,667934.0,73728.0
54,AP,55,604379.0,47066.0
55,AP,56,714537.0,101863.0
56,AP,57,728589.0,76034.0
57,AP,58,533378.0,528629.0
58,AP,59,631642.0,392788.0
59,AP,60,261632.0,454871.0
60,AP,61,48122.0,193005.0
61,AP,62,79646.0,180783.0
62,AP,63,1710375.0,133539.0
63,AP,64,956613.0,90939.0
64,AP,65,1025779.0,47528.0
65,AP,66,593828.0,32276.0
66,AP,67,2069992.0,254321.0
67,AP,68,1251921.0,361815.0
68,AP,69,299752.0,204683.0
69,AP,70,1035127.0,644884.0
70,AP,71,402582.0,537279.0
71,AP,72,1186472.0,917332.0
72,AP,73,1380322.0,567504.0
73,AP,74,1039018.0,345116.0
74,AR,1,0.0,0.0
75,AR,2,0.0,0.0
76,AR,3,0.0,0.0
77,AR,4,0.0,0.0
78,AR,5,0.0,0.0
79,AR,6,0.0,0.0
80,AR,7,0.0,0.0
81,AR,8,0.0,0.0
82,AR,9,0.0,0.0
83,AR,10,0.0,0.0
84,AR,11,0.0,0.0
85,AR,12,0.0,0.0
86,AR,13,0.0,0.0
87,AR,14,0.0,0.0
88,AR,15,0.0,0.0
89,AR,16,0.0,0.0
90,AR,17,0.0,0.0
91,AR,18,0.0,0.0
92,AR,19,0.0,0.0
93,AR,20,0.0,0.0
94,AR,21,0.0,0.0
95,AR,22,0.0,0.0
96,AR,23,0.0,0.0
97,AR,24,0.0,0.0
98,AR,25,0.0,0.0
99,AR,26,0.0,0.0
100,AR,27,0.0,0.0
101,AR,28,0.0,0.0
102,AR,29,0.0,0.0
103,AR,30,0.0,0.0
104,AR,31,0.0,0.0
105,AR,32,0.0,0.0
106,AR,33,0.0,0.0
107,AR,34,0.0,0.0
108,AR,35,0.0,0.0
109,AR,36,0.0,0.0
110,AR,37,0.0,0.0
111,AR,38,0.0,0.0
112,AR,39,0.0,0.0
113,AR,40,0.0,0.0
114,AR,41,0.0,0.0
115,AR,42,0.0,0.0
116,AR,43,0.0,0.0
117,AR,44,81.0,0.0
118,AR,45,2365.0,0.0
119,AR,46,4045.0,0.0
120,AR,47,2797.0,0.0
121,AR,48,3963.0,456.0
122,AR,49,6767.0,3764.0
123,AR,50,5885.0,2742.0
124,AR,51,11346.0,2690.0
125,AR,52,8860.0,2904.0
126,AR,53,10377.0,3944.0
127,AR,54,11366.0,3469.0
128,AR,55,10262.0,2651.0
129,AR,56,23642.0,6926.0
130,AR,57,32191.0,7263.0
131,AR,58,28718.0,9706.0
132,AR,59,27245.0,9099.0
133,AR,60,17836.0,14280.0
134,AR,61,11013.0,7987.0
135,AR,62,26396.0,191.0
136,AR,63,9292.0,198.0
137,AR,64,39729.0,330.0
138,AR,65,37188.0,429.0
139,AR,66,67181.0,593.0
140,AR,67,71623.0,1717.0
141,AR,68,64082.0,8122.0
142,AR,69,55752.0,22204.0
143,AR,70,37351.0,24789.0
144,AR,71,25971.0,22686.0
145,AR,72,17741.0,15395.0
146,AR,73,16958.0,8849.0
147,AR,74,12954.0,16353.0
148,AS,1,0.0,0.0
149,AS,2,0.0,0.0
150,AS,3,0.0,0.0
151,AS,4,0.0,0.0
152,AS,5,0.0,0.0
153,AS,6,0.0,0.0
154,AS,7,0.0,0.0
155,AS,8,0.0,0.0
156,AS,9,0.0,0.0
157,AS,10,0.0,0.0
158,AS,11,0.0,0.0
159,AS,12,0.0,0.0
160,AS,13,0.0,0.0
161,AS,14,0.0,0.0
162,AS,15,0.0,0.0
163,AS,16,0.0,0.0
164,AS,17,0.0,0.0
165,AS,18,0.0,0.0
166,AS,19,0.0,0.0
167,AS,20,0.0,0.0
168,AS,21,0.0,0.0
169,AS,22,0.0,0.0
170,AS,23,0.0,0.0
171,AS,24,0.0,0.0
172,AS,25,0.0,0.0
173,AS,26,0.0,0.0
174,AS,27,0.0,0.0
175,AS,28,0.0,0.0
176,AS,29,0.0,0.0
177,AS,30,0.0,0.0
178,AS,31,0.0,0.0
179,AS,32,0.0,0.0
180,AS,33,0.0,0.0
181,AS,34,0.0,0.0
182,AS,35,0.0,0.0
183,AS,36,0.0,0.0
184,AS,37,0.0,0.0
185,AS,38,0.0,0.0
186,AS,39,0.0,0.0
187,AS,40,0.0,0.0
188,AS,41,0.0,0.0
189,AS,42,0.0,0.0
190,AS,43,0.0,0.0
191,AS,44,401.0,0.0
192,AS,45,3660.0,0.0
193,AS,46,26512.0,0.0
194,AS,47,47925.0,0.0
195,AS,48,43552.0,2006.0
196,AS,49,31279.0,8584.0
197,AS,50,42047.0,17168.0
198,AS,51,148225.0,24810.0
199,AS,52,126257.0,31299.0
200,AS,53,87796.0,24516.0
201,AS,54,332813.0,33017.0
202,AS,55,140106.0,32003.0
203,AS,56,205557.0,76554.0
204,AS,57,59332.0,40762.0
205,AS,58,297490.0,122152.0
206,AS,59,427578.0,140664.0
207,AS,60,325788.0,103004.0
208,AS,61,285358.0,74338.0
209,AS,62,306857.0,46646.0
210,AS,63,308167.0,49656.0
211,AS,64,220749.0,20593.0
212,AS,65,374072.0,69556.0
213,AS,66,427672.0,138079.0
214,AS,67,1389486.0,127319.0
215,AS,68,643862.0,111854.0
216,AS,69,263231.0,50524.0
217,AS,70,671272.0,181569.0
218,AS,71,720674.0,184910.0
219,AS,72,751281.0,217665.0
220,AS,73,1480218.0,220949.0
221,AS,74,1240836.0,292703.0
222,BR,1,0.0,0.0
223,BR,2,0.0,0.0
224,BR,3,0.0,0.0
225,BR,4,0.0,0.0
226,BR,5,0.0,0.0
227,BR,6,0.0,0.0
228,BR,7,0.0,0.0
229,BR,8,0.0,0.0
230,BR,9,0.0,0.0
231,BR,10,0.0,0.0
232,BR,11,0.0,0.0
233,BR,12,0.0,0.0
234,BR,13,0.0,0.0
235,BR,14,0.0,0.0
236,BR,15,0.0,0.0
237,BR,16,0.0,0.0
238,BR,17,0.0,0.0
239,BR,18,0.0,0.0
240,BR,19,0.0,0.0
241,BR,20,0.0,0.0
242,BR,21,0.0,0.0
243,BR,22,0.0,0.0
244,BR,23,0.0,0.0
245,BR,24,0.0,0.0
246,BR,25,0.0,0.0
247,BR,26,0.0,0.0
248,BR,27,0.0,0.0
249,BR,28,0.0,0.0
250,BR,29,0.0,0.0
251,BR,30,0.0,0.0
252,BR,31,0.0,0.0
253,BR,32,0.0,0.0
254,BR,33,0.0,0.0
255,BR,34,0.0,0.0
256,BR,35,0.0,0.0
257,BR,36,0.0,0.0
258,BR,37,0.0,0.0
259,BR,38,0.0,0.0
260,BR,39,0.0,0.0
261,BR,40,0.0,0.0
262,BR,41,0.0,0.0
263,BR,42,0.0,0.0
264,BR,43,0.0,0.0
265,BR,44,2879.0,0.0
266,BR,45,35028.0,0.0
267,BR,46,66656.0,0.0
268,BR,47,218129.0,0.0
269,BR,48,120135.0,52.0
270,BR,49,66658.0,37972.0
271,BR,50,38593.0,39417.0
272,BR,51,82212.0,104135.0
273,BR,52,423038.0,105284.0
274,BR,53,375158.0,74117.0
275,BR,54,630531.0,38937.0
276,BR,55,663093.0,22860.0
277,BR,56,1173432.0,102858.0
278,BR,57,923676.0,143562.0
279,BR,58,573443.0,196340.0
280,BR,59,442405.0,234894.0
281,BR,60,368786.0,354047.0
282,BR,61,853217.0,208012.0
283,BR,62,602145.0,39988.0
284,BR,63,624637.0,43206.0
285,BR,64,631618.0,63861.0
286,BR,65,925552.0,66411.0
287,BR,66,1407424.0,130874.0
288,BR,67,1994467.0,135652.0
289,BR,68,1182067.0,217223.0
290,BR,69,1133330.0,274915.0
291,BR,70,1620038.0,428719.0
292,BR,71,1072794.0,288819.0
293,BR,72,1857060.0,481498.0
294,BR,73,2341349.0,500394.0
295,BR,74,2176373.0,453857.0
296,CH,1,0.0,0.0
297,CH,2,0.0,0.0
298,CH,3,0.0,0.0
299,CH,4,0.0,0.0
300,CH,5,0.0,0.0
301,CH,6,0.0,0.0
302,CH,7,0.0,0.0
303,CH,8,0.0,0.0
304,CH,9,0.0,0.0
305,CH,10,0.0,0.0
306,CH,11,0.0,0.0
307,CH,12,0.0,0.0
308,CH,13,0.0,0.0
309,CH,14,0.0,0.0
310,CH,15,0.0,0.0
311,CH,16,0.0,0.0
312,CH,17,0.0,0.0
313,CH,18,0.0,0.0
314,CH,19,0.0,0.0
315,CH,20,0.0,0.0
316,CH,21,0.0,0.0
317,CH,22,0.0,0.0
318,CH,23,0.0,0.0
319,CH,24,0.0,0.0
320,CH,25,0.0,0.0
321,CH,26,0.0,0.0
322,CH,27,0.0,0.0
323,CH,28,0.0,0.0
324,CH,29,0.0,0.0
325,CH,30,0.0,0.0
326,CH,31,0.0,0.0
327,CH,32,0.0,0.0
328,CH,33,0.0,0.0
329,CH,34,0.0,0.0
330,CH,35,0.0,0.0
331,CH,36,0.0,0.0
332,CH,37,0.0,0.0
333,CH,38,0.0,0.0
334,CH,39,0.0,0.0
335,CH,40,0.0,0.0
336,CH,41,0.0,0.0
337,CH,42,0.0,0.0
338,CH,43,0.0,0.0
339,CH,44,120.0,0.0
340,CH,45,670.0,0.0
