,Stateid,vaccinateddose1ratio,vaccinateddose2ratio
1,TG,0.15083966921841005,0.05074066932700816
4,WB,0.2142028704311043,0.079677366618026
10,UP,0.23714863914640905,0.04520925640993326
14,BR,0.244491900780426,0.04837242727456907
0,CT,0.245162403133289,0.07525001479377479
5,TN,0.24768459630285544,0.05706498243933257
9,ML,0.25967031459552414,0.07123657137156125
6,PB,0.26853195141951325,0.08130543549820864
15,JH,0.27446237018930114,0.06682510043016249
12,NL,0.3231631810329229,0.08488240092757046
11,AS,0.328715739776763,0.07182799638115957
7,AR,0.3333041850018103,0.09605290638977197
2,MN,0.34180686702192103,0.07911845182110475
3,GJ,0.35338946911196656,0.11530298654923801
13,MH,0.3539705431010238,0.12518558901772364
18,OR,0.361132529182846,0.10617763709197396
21,AP,0.37390893552845794,0.12830906984049067
8,RJ,0.37784264377928933,0.11837453746826233
20,KA,0.3928254593719625,0.12033141062605174
25,TR,0.4032167847014508,0.14640396067739145
16,DL,0.41107524740526546,0.1629708491351024
17,HR,0.4133572558695113,0.12688013151652083
19,MP,0.43389373164466377,0.0842766130181251
22,MZ,0.4381784277519445,0.1428236812412619
26,JK,0.45212530548390223,0.12826529164027134
28,PY,0.494565668646269,0.12755561184138245
24,KL,0.5173220212942795,0.19929955225789714
27,UT,0.5496805465164936,0.16993057042855847
29,LA,0.58810244172668,0.21305095098080992
23,HP,0.6534895514866949,0.19820228449630217
31,CH,0.695039082855654,0.23151357240987255
30,GA,0.7629624043138882,0.22619048435255684
32,DN,1.0194631284116698,0.1540507295265744
